dataset_id,run_id,algo,ami,n_clusters,dbcv_status,noise_fraction,status,dbcv,s_dbw
img_fashion_mnist_2k,639f74dd0e43,DBSCAN,0.0809392479495502,2,ok,0.582,ok,0.005369594679689705,-0.576599151934423
img_fashion_mnist_2k,9c3ccb4fd98f,DBSCAN,0.0753762185598332,1,trivial,0.693,trivial,,
img_fashion_mnist_2k,5647bbf0428d,HDBSCAN,0.0205476348951538,2,ok,0.0725,ok,0.006250139956086831,-0.5921019424606611
img_fashion_mnist_2k,389d4ccb0588,HDBSCAN,0.0570528940532915,3,ok,0.3885,ok,0.026855224233749746,-0.7235027260584508
img_fashion_mnist_2k,e34ce5984b64,HDBSCAN,0.0616145091065322,3,ok,0.946,ok,0.008421478778602599,-0.6414847026358365
img_fashion_mnist_2k,63470ebdd53e,HDBSCAN,0.0484979554504038,2,ok,0.159,ok,-0.0513378364487946,-0.785030054251646
img_fashion_mnist_2k,46814f50e13d,HDBSCAN,0.1045235965493677,4,ok,0.898,ok,0.00947064108389147,-0.6666496516698264
img_fashion_mnist_2k,e597041814f5,HDBSCAN,0.0580408449632577,2,ok,0.949,ok,0.006528519661963881,-0.8646611155449289
img_fashion_mnist_2k,024a1a8c54d1,HDBSCAN,0.2149107061121214,7,ok,0.826,ok,0.006006407748377808,-0.7661495179519673
img_fashion_mnist_2k,bdcde80d6dbb,HDBSCAN,0.1054971537409064,2,ok,0.9,ok,0.0031399827973849917,-0.9213156746748673
img_fashion_mnist_2k,95475ce56089,HDBSCAN,0.0580408449632577,2,ok,0.949,ok,0.006528519661963881,-0.8646611155449289
img_fashion_mnist_2k,5009193136b4,HDBSCAN,0.2289386244157024,3,ok,0.7605,ok,-0.005420058261801749,-0.9351353475637643
img_fashion_mnist_2k,955728329102,HDBSCAN,0.1054971537409064,2,ok,0.9,ok,0.0031399827973849917,-0.9213156746748673
img_fashion_mnist_2k,1f1b6dfa46dc,HDBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_2k,272f18e90bd4,AgglomerativeClustering,0.2181034386938968,2,ok,0.0,ok,-0.5628204193460987,-0.8601991285961966
img_fashion_mnist_2k,0cc00684cc3f,AgglomerativeClustering,0.390437501306378,3,ok,0.0,ok,-0.48912256393431913,-0.9481076468960911
