seed,dataset_id,regret
2,synth_moons_noise0.05,0.5913762088675881
2,synth_noisy_15pct_d10,0.02211563038383635
2,synth_spirals_2arms_n0.10,0.1315853858397672
2,synth_uniform_noise_10d,0.2261316554463545
3,openml_1040,0.4176640938927199
3,openml_1050,0.026300246383425097
3,openml_1053,0.0195070498826247
3,openml_1063,0.06096396319257941
3,openml_1120,0.09245774443261401
3,openml_1169,0.0058933331006877
3,openml_14,0.0
3,openml_1478,0.08883308886492358
3,openml_1486,0.0698577767249165
3,openml_1497,0.04782993409023201
3,openml_1504,0.1653374422636988
3,openml_1558,0.027975206190393696
3,openml_188,0.11520556104768759
3,openml_23381,0.0018447732926862
3,openml_28,0.14409683526835726
3,openml_300,0.03494233615359177
3,openml_32,0.06203046630416775
3,openml_37,0.029633316237208204
3,openml_38,0.039232715124115206
3,openml_40900,0.4657049826737885
3,openml_40975,0.04613843609577942
3,openml_40979,0.0065558432341357165
3,openml_40983,0.1575382674811126
3,openml_41026,0.06870766418826785
3,openml_41027,0.006465827492646389
3,openml_469,0.005664165678456899
3,synth_aniso_5d_3k,0.022573531040556816
3,synth_blobs_5d_k20,0.006742755509553833
3,synth_blobs_easy_2d,0.22062335751146678
3,synth_blobs_highd_100,0.0
3,synth_blobs_overlap_2d,0.08412391211864989
3,synth_grid_d15_k10_highoverlap,0.0013799257041196
3,synth_grid_d15_k6_lowoverlap,0.018671388304615233
3,synth_grid_d2_k10_lowoverlap,0.009335607475619567
3,synth_grid_d2_k10_medoverlap,0.03142489354598099
3,synth_grid_d2_k3_highoverlap,0.1433389799655509
3,synth_grid_d30_k10_medoverlap,0.0015304904550688114
3,synth_grid_d30_k3_medoverlap,0.0
3,synth_grid_d5_k3_lowoverlap,0.019396334347610233
3,synth_mixed_shapes_2d,0.0
3,synth_moons_plus_blob,0.1807930084707342
3,synth_noisy_5pct_d10,0.020094543612158455
3,synth_subspace_5of200,0.0
3,synth_uniform_noise_10d,0.2261316554463545
3,synth_varying_density_2d,0.0713740337232649
3,text_20ng_comp,0.03022475810308889
4,openml_1038,0.05371080543836569
4,openml_1049,0.024090695264803806
4,openml_1063,0.0834344411018209
4,openml_1457,0.011228291044220906
4,openml_1464,0.011484790629563806
4,openml_1468,0.20574651637732688
4,openml_1485,0.011440609906217297
4,openml_29,0.0663239593943072
4,openml_300,0.19465228146390412
4,openml_307,0.06342847996122136
4,openml_40478,0.09318404038272081
4,openml_40685,0.17389239473707607
4,openml_40701,0.0168668133816591
4,openml_40979,0.0
4,openml_40994,0.0224808044345485
4,openml_44,0.3207315371761483
4,synth_aniso_10d_6k,0.047005629730510035
4,synth_aniso_2d_4k,0.032310954613310794
4,synth_blobs_20d_15k,0.0
4,synth_blobs_5d_k20,0.0
4,synth_blobs_highd_50,0.03262324723042942
4,synth_blobs_varying_std,0.02291124719731019
4,synth_ellipsoidal_d10_k3,0.0
4,synth_ellipsoidal_d10_k5,0.003923940657830749
4,synth_ellipsoidal_d20_k3,0.008466048968418183
4,synth_elongated_10d,0.0
4,synth_grid_d15_k6_highoverlap,0.0
4,synth_grid_d15_k6_medoverlap,0.0
4,synth_grid_d2_k10_lowoverlap,0.0
4,synth_grid_d2_k6_highoverlap,0.015857648413111103
4,synth_grid_d2_k6_lowoverlap,0.015935296707448754
4,synth_imb_many_small_d5,0.0
4,synth_imb_mild_d5,0.008466134073893627
4,synth_moons_noise0.30,0.0932427324466924
4,synth_nested_rings_3,0.0
4,synth_nested_rings_5,0.3562368760293567
4,synth_noisy_15pct_d2,0.04746001031761071
4,synth_noisy_20pct_5d,0.0829357298114568
4,synth_noisy_5pct_d10,0.020094543612158455
4,synth_noisy_5pct_d2,0.09618369376049896
4,synth_s_curve_k3,0.2251933119186989
4,synth_spirals_3arms_n0.05,0.0742453108069972
4,synth_spirals_3arms_n0.20,0.023027339644156403
4,synth_subspace_3of100,0.319245465236896
4,synth_swiss_roll_k5,0.0898070921200278
4,text_20ng_rec,0.2067762268460386
