graph_id,source,n,k_true,algo,params,nmi,n_clusters,entropy,gini,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_std,size_ratio,imbalance,graph_n_nodes,graph_n_edges,graph_density,graph_avg_degree,graph_degree_std,graph_degree_max,within_edge_fraction,between_edge_fraction,cluster_density_mean,cluster_density_std,cluster_density_min,cluster_internal_deg_mean,conductance_mean,conductance_std,conductance_min,conductance_max,modularity,normalized_cut,coverage
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 0.5},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 0.8},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 1.0},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 1.2},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 1.5},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 2.0},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Louvain,{'resolution': 3.0},0.5432870879254618,20,2.9457035549412818,0.9448666666666666,7,26,15.0,4.806245936279167,0.2692307692307589,0.3204163957519231,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.27198627198627195,0.7280137280137279,0.5840055532702507,0.07741110644975185,0.46333333333333176,7.865740945329181,0.7470464553058809,0.06066444049550012,0.6154776299879073,0.8590308370044015,0.21680864538007394,0.7280137280137279,0.27198627198627195
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 0.5},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 0.8},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 1.0},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 1.2},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 1.5},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 2.0},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.16,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,Leiden,{'resolution': 3.0},0.544247770584378,20,2.938564703285568,0.9446222222222223,5,23,15.0,4.919349550499537,0.21739130434781664,0.3279566366999473,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.2734877734877734,0.7265122265122264,0.5925906276348682,0.10137176881427866,0.4703557312252946,7.871190072658976,0.7464053344598585,0.05960495059484936,0.6519174041297925,0.8714285714285652,0.21766669224841678,0.7265122265122264,0.2734877734877734
sbm_3c_100_clear_s0,sbm,300,3,LabelProp,{'seed': 0},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,LabelProp,{'seed': 1},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
sbm_3c_100_clear_s0,sbm,300,3,LabelProp,{'seed': 2},1.0,3,1.0986122886651097,0.6666666666666667,100,100,100.0,0.0,0.99999999999999,0.0,300,4662,0.10394648829431438,31.08,4.7791491571896625,45,0.938223938223938,0.061776061776061764,0.2945454545454545,0.004901505827630401,0.29030303030303023,29.159999999999997,0.061825202008009734,0.004146616856352729,0.05629348513598986,0.06627680311890836,0.6048400855350662,0.061776061776061764,0.938223938223938
