gid,src,algo,nmi,n_clusters,entropy,gini,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_std,size_ratio,imbalance,graph_n_nodes,graph_n_edges,graph_density,graph_avg_degree,graph_degree_std,within_edge_fraction,modularity,conductance_mean,conductance_min,conductance_max,cluster_density_mean,cluster_density_std,normalized_cut,coverage
dc_0_s0,dcsbm,Louv,0.48387620826000044,80,3.4035311010856653,0.9184722222222222,1.0,39.0,3.0,7.049822692805827,0.02564102564102498,2.349940897601159,240,1455,0.05073221757322176,12.125,9.20422231007777,0.3635738831615118,0.24626232566927647,0.9191105695367874,0.439728353140916,0.9999999999999656,0.3888975448840569,0.4685997025848208,0.6364261168384876,0.3635738831615118
dc_0_s0,dcsbm,Leid,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Louv,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Leid,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Louv,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Leid,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.14240506329113922,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Louv,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Leid,1.0,3,1.0986122886651097,0.6666666666666667,80.0,80.0,80.0,0.0,0.9999999999999876,0.0,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9278350515463911,0.5944244871931129,0.07217973147109503,0.07024793388429745,0.07450157397691493,0.1424050632911392,0.0023254649456802335,0.0721649484536082,0.9278350515463911
dc_0_s0,dcsbm,Louv,0.9691978911352443,4,1.1520237713938344,0.6747569444444445,3.0,80.0,60.0,32.91656118126558,0.037499999999999534,0.5486093530210838,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9216494845360819,0.5923397220155644,0.22268320502463773,0.07024793388429745,0.6666666666666297,0.3586042122433694,0.370322925299065,0.07835051546391748,0.9216494845360819
dc_0_s0,dcsbm,Leid,0.9691978911352443,4,1.1520237713938342,0.6747569444444443,3.0,80.0,60.0,32.91656118126558,0.037499999999999534,0.5486093530210838,240,1455,0.05073221757322176,12.125,9.20422231007777,0.9216494845360819,0.5923397220155643,0.22268320502463773,0.07024793388429745,0.6666666666666297,0.35860421224336936,0.37032292529906496,0.07835051546391748,0.9216494845360819
