regret,eps_success,ndcg_at_k,spearman,kendall,dataset_id,seed
0.012257463864707201,0.0,0.5889793700044138,0.5368776144778619,0.3928477037858609,openml_31,0
0.0,1.0,1.0,0.8986919322956735,0.7642312513187234,synth_imb_extreme_d15,0
0.32677700629125883,0.0,0.7918067342247768,0.928692531810176,0.8058199619254827,synth_subspace_5of50,0
0.023287799272761797,0.0,0.41691419689638637,0.815648414055248,0.6475608482832081,openml_1485,0
0.0060539839606299495,1.0,0.9943222844773257,0.9637556746707698,0.8632077656547271,synth_varying_density_15d,0
0.05947242647592409,0.0,0.7656944929164566,0.5459826811355912,0.37713310580204773,openml_1475,0
0.15701315680393868,0.0,0.9068547221201829,0.9221813800818756,0.7792119565217391,img_mnist_digits_5k,0
0.02520491038268749,0.0,0.8038246372577369,0.4827067669172932,0.3368421052631579,openml_1486,0
0.0,1.0,0.9651318285080536,0.9030545967412686,0.7411764705882352,img_mnist_digits_2k,0
0.1373540921875294,0.0,0.29318908155229834,0.3592527249946565,0.2058523426406311,synth_spirals_2arms_n0.10,0
0.019597818622109797,0.0,0.639372501044931,0.5385713073754628,0.414778145019074,openml_1053,0
5.274457848070005e-05,1.0,-1.7190169881454878,-0.4486237262448555,-0.3330941274659036,openml_23381,0
0.49704583003761826,0.0,0.8314218342540464,0.741111254864385,0.5626719491334348,synth_moons_noise0.05,0
0.1282789602656192,0.0,0.5696501726860026,0.6152088858155607,0.4311769538892562,openml_54,0
0.08109452384725457,0.0,0.9079130020914165,0.9400687897458738,0.7984764542936288,openml_16,0
0.05648637447395932,0.0,0.951097338834083,0.9556935066256311,0.8464604441686434,openml_12,0
0.11520556104768759,0.0,0.5203550712842766,0.6419317697092871,0.41691483847235133,openml_188,0
0.1320775479229373,0.0,0.7596189028912744,0.7572315122297639,0.5766890042698765,synth_moons_noise0.30,0
0.17250326596087828,0.0,0.7606774037451455,0.6911651117349197,0.5043020892858301,openml_40984,0
0.1001318759717218,0.0,0.9237116863819193,0.8788873937958483,0.7127285023918462,synth_ellipsoidal_d3_k8,0
0.3917444804295652,0.0,0.27913600691139245,0.7025780894863303,0.4593993325917686,openml_1040,0
8.953338370630001e-05,1.0,0.7432206702444782,0.7420704078075985,0.5657894736842104,openml_23517,0
0.018117359189973592,0.0,0.9913261479902566,0.9511497163695302,0.8568766306373461,synth_grid_d30_k3_lowoverlap,0
0.0438040241338208,0.0,0.6827827096690339,0.7560725104832114,0.559596985286605,openml_37,0
0.0313514006998402,0.0,0.4245276612698353,0.12467532467532469,0.0761904761904762,openml_151,0
0.08401858365763393,0.0,0.9280795153629385,0.8524955295547334,0.684944790207619,openml_61,0
0.0,1.0,0.9945096482215405,0.6994138134013539,0.5747800672029755,synth_grid_d2_k10_lowoverlap,0
0.0103012680943995,0.0,0.5224246234030658,0.3492867825184482,0.2147887488327778,openml_469,0
0.01966792287019141,0.0,0.8175576616736239,0.4635212131652825,0.3359492449569528,openml_4538,0
0.16149057668210587,0.0,0.8600069656528545,0.7670279089918682,0.5864130842646407,synth_blobs_large_2d,0
0.030570700864999897,0.0,0.6491773215225493,0.5100556303915416,0.3606557627370519,openml_1558,0
0.06820475191862001,0.0,0.54783862063218,0.21804511278195485,0.16842105263157894,openml_1590,0
0.04613843609577942,0.0,0.7781460054661113,0.7646593230140684,0.723770464829799,openml_40975,0
0.03912843792898402,0.0,0.9594086120762498,0.8611547933208065,0.7148805050046004,synth_grid_d2_k3_medoverlap,0
0.39470222703198365,0.0,0.7637358603383239,0.9326574450327684,0.8226720647773279,synth_subspace_5of200,0
0.019396334347610233,0.0,0.9923996866176913,0.9682271705808727,0.8967247705067847,synth_grid_d5_k3_lowoverlap,0
0.018088468516668794,0.0,0.6935611698698623,0.7379953913752881,0.5655310621242485,openml_6332,0
0.013184095239889837,0.0,0.9830537606958631,0.9264804498861795,0.8489043303299015,synth_grid_d2_k3_lowoverlap,0
0.0,1.0,0.9462147063793213,0.9318910319695357,0.7671557211364902,openml_22,0
0.0015304904550688114,1.0,0.9986703176637204,0.9715073878788149,0.8974682573521945,synth_grid_d30_k10_medoverlap,0
0.07586882965131614,0.0,0.9014179536465287,0.6795733188751835,0.497822968570792,openml_15,0
0.023061240688762363,0.0,0.9494727986128331,0.8778572356428687,0.6993530051340647,synth_grid_d2_k10_highoverlap,0
0.009797374906269418,1.0,0.9624471149096273,0.9604756711992691,0.8544625803810056,synth_grid_d15_k10_highoverlap,0
0.07365331860528851,0.0,0.7558118629052804,0.6841869613188991,0.5064280312578775,openml_181,0
0.0429180715277534,0.0,0.5013228136086442,0.38710790073689016,0.298302294918501,openml_1471,0
0.0,1.0,0.9037588411431109,0.8488748752940598,0.6892076502732241,synth_nested_rings_5,0
0.003923940657830749,1.0,0.9986691554810085,0.9737336451012556,0.8952113086302711,synth_ellipsoidal_d10_k5,1
0.0554481830285768,0.0,0.08858409813435274,0.701519967461549,0.488132911392405,openml_40536,1
0.8302448777754561,0.0,0.5716584748209639,0.8051674168612935,0.6432851032181499,synth_uniform_noise_2d,1
0.004775300156228401,1.0,0.9890007123182356,0.9742703942948957,0.8838808391387986,synth_grid_d15_k3_highoverlap,1
0.22062335751146678,0.0,0.9280253101949337,0.876411168777862,0.7079060689012295,synth_blobs_easy_2d,1
0.0013799257041196,1.0,0.9994173929769985,0.9675484192448952,0.8788033015888586,synth_grid_d15_k10_highoverlap,1
0.2217098676539081,0.0,0.8425124472756002,0.9371834653128603,0.7950686816832797,synth_grid_d5_k3_highoverlap,1
0.010310248111923399,0.0,0.5271203411441173,0.1999752064835046,0.09346890887759093,openml_469,1
0.16029689276174475,0.0,0.7065612654677904,0.8770285073752324,0.7528671846096929,openml_41026,1
0.025208054428248985,0.0,0.8326840858869577,0.6048448975117833,0.4189419795221843,openml_1475,1
0.20574651637732688,0.0,0.7830328322497528,0.8276089870392533,0.6276723197665013,openml_1468,1
0.0,1.0,0.9864724077784437,0.9668474213798904,0.8628650243293754,synth_noisy_15pct_d10,1
0.0,1.0,0.9961261198811941,0.8856401894898381,0.7307318839420945,synth_blobs_5d_k12,1
0.0315401469808112,0.0,0.989426542240761,0.9878203658164634,0.9313901451672671,synth_ellipsoidal_d10_k8,1
0.1807930084707342,0.0,0.7813693385649791,0.7958817963662876,0.6324912749328352,synth_moons_plus_blob,1
0.0,1.0,0.9794429098430172,0.8965277321956022,0.7664576802507835,synth_subspace_2of50,1
0.02291124719731019,0.0,0.8772939720384996,0.6664537968784758,0.49676139698914135,synth_blobs_varying_std,1
0.0,1.0,1.0,0.832765001535304,0.6726891856506939,synth_moons_noise0.05,1
0.1072455848433238,0.0,0.7180561449991486,0.38111262040009874,0.2603686635944701,openml_4534,1
0.09956553367119331,0.0,0.9562435739447147,0.8191304347826085,0.6521739130434783,openml_6,1
0.015111056490971199,0.0,0.22228107417051451,0.6926605504587154,0.5416666666666666,openml_40668,1
0.07220192273755521,0.0,0.9566032672424272,0.960212300040827,0.847750865051903,img_mnist_digits_2k,1
0.0,1.0,1.0,0.9644111401392255,0.8614717520262273,synth_blobs_well_separated,1
0.11520556104768759,0.0,0.5136470702322917,0.7211227233932915,0.5387058356490672,openml_188,1
0.0,1.0,0.9609351218961604,0.7072088724584104,0.5777777777777778,openml_40927,1
0.08201588033995622,0.0,0.9640457636685741,0.9639043161447909,0.8623818875414515,synth_grid_d2_k6_medoverlap,1
0.00020942382337496568,1.0,0.9991430798445263,0.9811513211565319,0.9139787042250347,synth_ellipsoidal_d20_k8,1
0.03258234551262551,0.0,0.9523465450840202,0.9410368135858331,0.8239089184060719,openml_12,1
0.031661897085709906,0.0,0.910671681402555,0.8597505032385281,0.6969050160085378,openml_1494,1
0.07103605387234971,0.0,0.5236816999241595,0.7487383523860585,0.584849519263414,openml_1480,1
0.023027339644156403,0.0,0.6519432221007823,0.43252331860579285,0.31036811887875715,synth_spirals_3arms_n0.20,1
0.3786437507899627,0.0,0.6197282621576747,0.010755358649567212,0.013213117014283715,synth_blobs_many_2d,1
7.327173931220843e-05,1.0,0.9311451788740813,0.6970029648381905,0.5131285471134805,openml_1063,1
0.026994456354811902,0.0,0.7202182982549495,0.4798841488863876,0.3609348914858097,openml_4538,1
0.002178437863013999,1.0,0.5866003855973219,0.2949307333929838,0.1942117288651942,openml_1053,1
0.011440609906217297,0.0,0.7786367551221202,0.7478792246595499,0.5741145605596852,openml_1485,1
0.034385036101641786,0.0,0.8515239727215257,0.8991054001301236,0.7291721766728378,openml_458,1
0.02047640800293321,0.0,0.725960335404593,0.06625239975951795,0.05935959207956626,openml_40975,1
0.1684322594801128,0.0,0.09055128646762274,0.38095528391700856,0.2885558371936308,openml_40983,1
0.011228291044220906,0.0,0.9622417689236786,0.9688551921942788,0.8859923042644513,openml_1457,1
0.021462815848829087,0.0,0.8551232593185029,0.8220983502708785,0.6381928563961047,synth_grid_d2_k10_highoverlap,1
0.00336710289869524,1.0,0.9992238196685296,0.9732304181278585,0.8771684468477513,synth_grid_d5_k10_medoverlap,1
0.003414104273545937,1.0,0.7629929699886375,0.5622529644268774,0.40711462450592883,openml_40685,1
0.01313143324977778,0.0,0.8356497629474309,0.6272958881384051,0.4175334323922735,openml_1476,1
0.11884701541078335,0.0,0.9187446400337287,0.907665386140238,0.761854583772392,openml_36,1
0.0,1.0,0.9619362521557251,0.8469700773482464,0.6672288845114266,synth_varying_density_2d,1
0.0283053100858508,0.0,0.9733456970368882,0.9474306401845798,0.8284850075833382,synth_varying_density_15d,2
0.06215541791035606,0.0,0.9846125093232833,0.943247743405486,0.8173400673400673,openml_1466,2
0.026300246383425097,0.0,0.6201483554821606,0.8193141442772166,0.605095541401274,openml_1050,2
0.2192490852992628,0.0,0.7725689067052478,0.9037619426751593,0.7449051300070274,openml_1510,2
0.04160091926094878,0.0,0.9673296368126646,0.9539679002069038,0.8745558476878903,synth_grid_d30_k6_medoverlap,2
0.04634601041267683,0.0,0.9214424302160092,0.8884054356602492,0.7244803154000357,synth_varying_density_5d,2
0.0315401469808112,0.0,0.9811411662359393,0.9749067598924227,0.8848136257296334,synth_ellipsoidal_d10_k8,2
0.0271802196173708,0.0,0.8247697452884655,0.4842029102017846,0.3549902152641879,openml_1067,2
0.0,1.0,0.8948907650169534,0.9244634066294715,0.8142633228840125,synth_subspace_3of100,2
0.015679174527977402,0.0,0.6977370666294027,0.531661532717236,0.3827277544948688,openml_23,2
0.042495000795090304,0.0,0.7613499576072523,0.8766759964310594,0.7126590756865373,text_20ng_politics,2
0.11520556104768759,0.0,0.5291785769438392,0.6846648094172211,0.4902739182215165,openml_188,2
0.0579315829001025,0.0,0.32958444203132986,0.32187741539507075,0.21973021580619784,openml_38,2
0.01316053110053561,0.0,0.9886539286382637,0.9726663280830279,0.8827967165903671,synth_ellipsoidal_d20_k8,2
0.11463538197086312,0.0,0.5365837218565688,0.7689428864955481,0.5836520076719536,openml_1515,2
0.03258234551262551,0.0,0.9457664790996712,0.9271828389475447,0.7981024667931688,openml_12,2
0.0,1.0,0.9952727192514597,0.8771014586994407,0.7047368221605315,synth_circles_n0.10_f0.3,2
0.0,1.0,1.0,0.8897023656230455,0.7413676371022342,synth_nested_rings_3,2
0.0829357298114568,0.0,0.9103213787480042,0.8256030718751547,0.6629627283234704,synth_noisy_20pct_5d,2
0.0,1.0,1.0,0.989319506998373,0.9389437068345642,synth_grid_d30_k3_medoverlap,2
0.0,1.0,0.9999999999999999,0.9376787596134056,0.8134693809408916,synth_imb_extreme_d15,2
0.010310248111923399,0.0,0.6538447484639931,0.24392171447166566,0.1349237387563551,openml_469,2
0.0,1.0,1.0,0.9588379759045221,0.8624027435280788,synth_blobs_5d_k4,2
0.0,1.0,0.9761425048055421,0.8030296658662625,0.6510046320221349,openml_18,2
0.007851119195704692,1.0,0.9934906562316084,0.8899105616159056,0.7154894891351695,synth_noisy_10pct,2
0.16534978658990396,0.0,0.9104268840792814,0.8714635211675309,0.6997012341341505,synth_blobs_overlap_2d,2
0.03157734212602403,0.0,0.9688444162116048,0.9078899856168932,0.7458254045978646,synth_noisy_25pct_d10,2
0.019396334347610233,0.0,0.9923996866176913,0.9708407459215783,0.9087866421571492,synth_grid_d5_k3_lowoverlap,2
0.003980823869387584,1.0,0.9986498629593004,0.9793986019868351,0.9336422532419291,synth_grid_d30_k10_lowoverlap,2
0.00397972585421158,1.0,0.996538495149012,0.9827220042107211,0.941540859925672,synth_grid_d15_k10_medoverlap,2
0.021508797689236858,0.0,0.9612951674954234,0.9215336878661773,0.7622631029392524,openml_32,2
0.026098208088435992,0.0,0.983926465147879,0.9341668605576713,0.7963340122199594,synth_mixed_shapes_2d,2
0.04877325958106782,0.0,0.9657993638833969,0.8993651154218301,0.7420111934221376,synth_ellipsoidal_d3_k3,2
0.060856217104168886,0.0,0.8330058169434177,0.7982408312052386,0.6198119517251188,synth_swiss_roll_k3,2
0.1644896877400077,0.0,0.05504508810247091,0.16345447167593624,0.11471469430037416,synth_circles_n0.15_f0.7,2
0.0034452619818116093,1.0,0.9965182539932118,0.9825743798179913,0.9334329653439991,synth_blobs_30d_10k,2
0.14171339060635207,0.0,0.7887606240700549,0.2775863933387917,0.18558698179000388,openml_40496,2
0.1639124325125796,0.0,0.813313834751821,0.7373191813312877,0.565647696721004,openml_1462,2
0.03467345167461677,0.0,0.9728344411296523,0.7843478260869564,0.6159420289855072,openml_6,2
0.005874698783826848,1.0,0.9949390529507128,0.9650383150076353,0.8895009348686499,synth_grid_d30_k6_lowoverlap,2
0.0718640577614072,0.0,0.566615121086311,0.7585284758920569,0.5689099062360639,openml_37,2
0.23489017170073523,0.0,0.7607762329678308,0.9045657489103861,0.7387872264083243,openml_28,2
0.2261316554463545,0.0,0.4843354966520717,0.7145751035075708,0.48338413009383374,synth_uniform_noise_10d,2
0.8302448777754561,0.0,0.5273065392396078,0.7554976025733992,0.5708744380910749,synth_uniform_noise_2d,2
0.1543005301173716,0.0,0.10340620706934793,0.5914431534033215,0.42093286532991797,openml_40983,2
0.0,1.0,0.9101545050767028,0.9195505452220843,0.7710597826086957,img_mnist_digits_5k,2
0.009443189073292398,1.0,0.8085618620180182,0.8595402721212951,0.6470313604678885,openml_1487,3
0.008466048968418183,1.0,0.9920181960155638,0.9661303891077219,0.8465503389851989,synth_ellipsoidal_d20_k3,3
0.07637055957483749,0.0,0.8257205671198483,0.7860653851785229,0.6246759979263867,openml_41143,3
0.006465827492646389,1.0,0.8293442183883957,0.6850305437177194,0.49895305741587853,openml_41027,3
0.22592770611980295,0.0,0.6197296869101288,0.3525359333716954,0.2331510010052452,synth_blobs_high_overlap,3
0.3353842990473673,0.0,0.8081442112905082,0.691941970272916,0.5282224927466719,openml_15,3
0.001736166219462,1.0,-2.17713308808688,-0.5393830751504473,-0.3424265060371466,openml_23381,3
0.10296053895194479,0.0,0.918434559620088,0.8651992243379033,0.6610511222596769,synth_varying_density_5d,3
0.0028698027207868003,1.0,0.5367994715638797,0.19478260869565217,0.13043478260869565,openml_4135,3
0.0930774413912282,0.0,0.9391001000956921,0.9252440142650327,0.7694682863195274,synth_ellipsoidal_d3_k3,3
0.01966792287019141,0.0,0.8094118701574473,0.4958989182199376,0.3408522492712946,openml_4538,3
0.0,1.0,1.0,0.9965808283542394,0.972357356507416,synth_grid_d30_k10_lowoverlap,3
0.018117359189973592,0.0,0.9913261479902566,0.9452745137763373,0.8345136041744315,synth_grid_d30_k3_lowoverlap,3
0.1145021135455836,0.0,0.7413554176930411,0.677391304347826,0.5,openml_6,3
0.465352972820657,0.0,0.5204917268896013,0.4512576277487239,0.2706390380882552,synth_moons_noise0.15,3
0.026084682567704902,0.0,0.6141204382095156,0.5078305778195111,0.33387031816351187,openml_1049,3
0.011235906168287402,0.0,0.9892318194734719,0.9598390462900516,0.8550742805053416,synth_grid_d5_k6_medoverlap,3
0.005874698783826848,1.0,0.9939377550863251,0.9693633832301775,0.8918330308529946,synth_grid_d5_k6_lowoverlap,3
0.0,1.0,1.0,0.9366764183004079,0.804169769179477,synth_blobs_5d_k4,3
0.044457935566408424,0.0,0.98394904263573,0.9345206543589933,0.7983337528040466,synth_aniso_10d_6k,3
0.011228291044220906,0.0,0.8788934183570912,0.8265081015290209,0.6703377386196769,openml_1457,3
0.1712496292844109,0.0,0.8249200121397029,0.6731375216327101,0.5062313576320245,openml_40984,3
0.03931719768745881,0.0,0.8215196349370117,0.7050043898156276,0.5529411764705882,openml_1596,3
0.0224808044345485,0.0,0.3363534271376948,0.6777474473686275,0.4807108957045,openml_40994,3
0.0619296166094885,0.0,0.540144787870192,0.3333722036959965,0.19678241320257495,synth_spirals_3arms_n0.05,3
0.0,1.0,0.9630662255049447,0.9117859957448903,0.7547697461327988,openml_14,3
0.015001192345428849,0.0,0.9949121925247753,0.9405819344964714,0.8160536254898081,synth_aniso_2d_4k,3
0.0,1.0,0.9758483692712465,0.851830769791854,0.6599712100151336,synth_circles_n0.10_f0.3,3
0.0,1.0,0.9678141147208134,0.9438815276695246,0.8076124567474047,img_mnist_digits_2k,3
0.0,1.0,1.0,0.9849490574013359,0.9281534904175975,synth_grid_d30_k6_lowoverlap,3
0.0033669141521029955,1.0,0.9971102347679726,0.9632629468186615,0.8908916023507992,synth_blobs_large_20d,3
0.003923940657830749,1.0,0.9973713646618733,0.9466790062715366,0.8154465583872321,synth_ellipsoidal_d10_k5,3
