held_out_algo,regret_with_mean,regret_with_std,regret_without_mean,regret_without_std,delta_regret
KMeans,0.04294198873440609,0.07690680918861911,0.047245113360621496,0.0841518750545086,0.004303124626215404
GaussianMixture,0.043739763882223934,0.07125192026079984,0.047348581646735804,0.0749982095162863,0.0036088177645118708
SpectralClustering,0.053460406666207536,0.08489596986761323,0.06019062116119102,0.08463724760339657,0.006730214494983483
DBSCAN,0.01962132617998449,0.03539227902071297,0.04297447575554464,0.1070184647359584,0.02335314957556015
HDBSCAN,0.023055949848643644,0.045895113155612885,0.02247595446361961,0.04411895033791161,-0.0005799953850240333
AgglomerativeClustering,0.04419160113437721,0.0640351113989087,0.048666273259613736,0.06534869550276015,0.0044746721252365285
