dataset_id,run_id,dunn
img_fashion_mnist_5k,77e145ffcc55,0.08270764987034249
img_fashion_mnist_5k,632568e85407,0.12346636169565212
img_fashion_mnist_5k,fa9612cfa871,0.10326826662516084
img_fashion_mnist_5k,3d72e70b09e3,0.10911387914475916
img_fashion_mnist_5k,45c510f16843,0.07949492207405795
img_fashion_mnist_5k,27a2752a569f,0.07742802848782424
img_fashion_mnist_5k,4ec824c366d4,
img_fashion_mnist_5k,4555573328fc,
img_fashion_mnist_5k,0f46e0814abc,
img_fashion_mnist_5k,759f97a6695c,
img_fashion_mnist_5k,9cd81f07f9eb,
img_fashion_mnist_5k,bb5d6442dae0,
img_fashion_mnist_5k,c610648f3a0b,
img_fashion_mnist_5k,d9a6e957a479,
img_fashion_mnist_5k,e0981ae1c5a2,
img_fashion_mnist_5k,08e381bd46b1,
img_fashion_mnist_5k,f7183f4c1fed,
img_fashion_mnist_5k,7c2e8cd4a56d,
img_fashion_mnist_5k,07ebbef7de3c,
img_fashion_mnist_5k,db49059653de,
img_fashion_mnist_5k,19967cb83e78,
img_fashion_mnist_5k,158a0277ed3c,
img_fashion_mnist_5k,d0fba6f03c0f,0.6998725834352223
img_fashion_mnist_5k,f10f8ff36baa,
img_fashion_mnist_5k,672c637760be,
img_fashion_mnist_5k,0cd896f527d5,
img_fashion_mnist_5k,4887a0323e21,0.30900629086869824
img_fashion_mnist_5k,3d795ce47578,0.19851771002109703
img_fashion_mnist_5k,639f74dd0e43,0.2469113147335842
img_fashion_mnist_5k,9c3ccb4fd98f,0.24300712137808983
img_fashion_mnist_5k,5647bbf0428d,0.36381593320755856
img_fashion_mnist_5k,389d4ccb0588,0.2716769841775786
img_fashion_mnist_5k,e34ce5984b64,0.35736725238284656
img_fashion_mnist_5k,63470ebdd53e,0.336557187176952
img_fashion_mnist_5k,46814f50e13d,0.25637506113339187
img_fashion_mnist_5k,e597041814f5,0.35736725238284656
img_fashion_mnist_5k,024a1a8c54d1,0.34801194951720316
img_fashion_mnist_5k,bdcde80d6dbb,0.23565441714635635
img_fashion_mnist_5k,95475ce56089,0.29365830740907356
img_fashion_mnist_5k,5009193136b4,0.26269050648404746
img_fashion_mnist_5k,955728329102,0.23565441714635635
img_fashion_mnist_5k,1f1b6dfa46dc,0.29365830740907356
img_fashion_mnist_5k,272f18e90bd4,0.1311739581034271
img_fashion_mnist_5k,0cc00684cc3f,0.1311739581034271
img_fashion_mnist_5k,7203310ff7ba,0.1311739581034271
img_fashion_mnist_5k,a399ab5a112a,0.1311739581034271
img_fashion_mnist_5k,4d00158c440c,0.1311739581034271
img_fashion_mnist_5k,f028e3896d9e,0.13254205409230443
img_fashion_mnist_5k,bc0e2be21bfb,0.13254205409230443
img_fashion_mnist_5k,ae16e9272ff8,0.0847493921555041
img_fashion_mnist_5k,803c0d3403ff,0.09185932251938711
img_fashion_mnist_5k,579a8bd776f9,0.09617170144128379
img_fashion_mnist_5k,ccd2d07c7a4a,0.09876358898361218
img_fashion_mnist_5k,92f60358ba37,0.10266392418784256
img_fashion_mnist_5k,646357d2ae16,0.10591176323718994
img_fashion_mnist_5k,5773d7049286,0.10926697122009721
img_fashion_mnist_5k,a81f368f51bb,
img_fashion_mnist_5k,70969dd2d720,0.4534824624645996
img_fashion_mnist_5k,34b50b92b183,0.3825332912847054
img_fashion_mnist_5k,48d260f98b0d,0.3825332912847054
img_fashion_mnist_5k,1134a806601d,0.3825332912847054
img_fashion_mnist_5k,0069693e350e,0.3623232931607677
img_fashion_mnist_5k,2fa0af8799c8,0.3163352358952399
img_mnist_digits_2k,76c89cda5ca5,0.20580537000296034
img_mnist_digits_2k,23861655ac34,0.22869627096789588
img_mnist_digits_2k,a042255d7a7d,0.11365063789484704
img_mnist_digits_2k,47980bf71ea8,0.18501657039464564
img_mnist_digits_2k,79d9b0fb5f02,0.09841190035217758
img_mnist_digits_2k,e511e76239fe,0.10330472213929193
img_mnist_digits_2k,7741c3e44852,0.13908707689734903
img_mnist_digits_2k,b2d6bf5f391d,0.09339640435411993
img_mnist_digits_2k,3964e1ccb548,0.21249318851605714
img_mnist_digits_2k,4c077151b389,0.22375274810180593
img_mnist_digits_2k,f292f2a1db5b,0.212996642267298
img_mnist_digits_2k,a4dbad06fd4e,0.19159667799635022
img_mnist_digits_2k,8eecd2798818,0.09942317452550674
img_mnist_digits_2k,4d9c9acccd21,0.12946249664416737
img_mnist_digits_2k,9381fbddb6c5,0.12340839565554625
img_mnist_digits_2k,8ec393598948,0.1284141494776264
img_mnist_digits_2k,77e145ffcc55,0.11579261959212118
img_mnist_digits_2k,632568e85407,0.11579261959212118
img_mnist_digits_2k,fa9612cfa871,0.1043557221543586
img_mnist_digits_2k,3d72e70b09e3,0.1043557221543586
img_mnist_digits_2k,45c510f16843,0.1043557221543586
img_mnist_digits_2k,27a2752a569f,0.128698422002435
img_mnist_digits_2k,4ec824c366d4,
img_mnist_digits_2k,4555573328fc,
img_mnist_digits_2k,0f46e0814abc,
img_mnist_digits_2k,759f97a6695c,
img_mnist_digits_2k,9cd81f07f9eb,
img_mnist_digits_2k,bb5d6442dae0,
img_mnist_digits_2k,c610648f3a0b,
img_mnist_digits_2k,d9a6e957a479,
img_mnist_digits_2k,e0981ae1c5a2,
img_mnist_digits_2k,08e381bd46b1,
img_mnist_digits_2k,f7183f4c1fed,
img_mnist_digits_2k,7c2e8cd4a56d,
img_mnist_digits_2k,07ebbef7de3c,
img_mnist_digits_2k,db49059653de,
img_mnist_digits_2k,19967cb83e78,
img_mnist_digits_2k,158a0277ed3c,
img_mnist_digits_2k,d0fba6f03c0f,0.4854305187770999
img_mnist_digits_2k,f10f8ff36baa,0.5788592773105724
img_mnist_digits_2k,672c637760be,
img_mnist_digits_2k,0cd896f527d5,
img_mnist_digits_2k,4887a0323e21,0.40258449679995717
img_mnist_digits_2k,3d795ce47578,0.3761034382464674
img_mnist_digits_2k,639f74dd0e43,0.3067755353193431
img_mnist_digits_2k,9c3ccb4fd98f,
img_mnist_digits_2k,5647bbf0428d,0.26419638026573367
img_mnist_digits_2k,389d4ccb0588,0.3461328800391215
img_mnist_digits_2k,e34ce5984b64,0.4214580317213998
img_mnist_digits_2k,63470ebdd53e,0.3390836846150654
img_mnist_digits_2k,46814f50e13d,0.3461328800391215
img_mnist_digits_2k,e597041814f5,0.4214580317213998
img_mnist_digits_2k,024a1a8c54d1,0.40123895613909627
