seed,graph_id,metaivm_regret,modularity_regret,coverage_regret,ncut_regret,conductance_regret,random_regret,metaivm_rho,modularity_rho,coverage_rho,ncut_rho,conductance_rho
0,sbm_2c_200_clear_s2,0.0,0.0,0.0,0.0,0.0,0.6021878644729646,0.9989583333333331,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9989583333333331
0,sbm_3c_300_hard_s2,0.006228677604302013,0.0,0.9689032965803263,0.9689032965803263,0.9689032965803263,0.7243414377894317,0.989083820662768,0.9773879142300195,-0.16533437631460393,-0.16533437631460393,-0.1267056530214425
0,sbm_5c_200_clear_s2,0.0,0.0,1.0,1.0,1.0,0.0,0.9981949458483754,0.9819650523397618,-0.453971119133574,-0.453971119133574,-0.296028880866426
0,sbm_8c_50_hard_s2,0.11065574995780658,0.17615457855746958,0.2847334659965323,0.2847334659965323,0.2847334659965323,0.08353950049483538,0.9516569200779726,0.6038986354775827,-0.8573099415204679,-0.8573099415204679,-0.9274853801169591
0,sbm_3c_30_clear_s1,0.0,0.0,0.26631956334878926,0.26631956334878926,0.26631956334878926,0.0,0.9955198218216503,0.9964643377816329,0.1042654028436019,0.1042654028436019,0.10389675559808495
0,sbm_3c_100_mixed_s2,0.012754944614024155,0.012754944614024155,0.9490092621965739,0.9490092621965739,0.9490092621965739,0.5515206000479699,0.966419367434596,0.9836001561889888,-0.18391253416634132,-0.18391253416634132,-0.15657946114798907
0,sbm_3c_100_hard_s1,0.0,0.1081993102958711,0.15238549382530586,0.15238549382530586,0.15238549382530586,0.07579845423667064,0.8861598440545808,0.3832358674463937,-0.9376218323586745,-0.9376218323586745,-0.9641325536062378
0,sbm_5c_80_moderate_s1,0.0,0.0,0.9916398563708724,0.9916398563708724,0.9916398563708724,0.38932446335858784,0.9937377690802349,0.9945205479452056,-0.28923679060665364,-0.28923679060665364,-0.2837573385518591
0,sbm_5c_80_moderate_s0,1.1102230246251565e-16,1.1102230246251565e-16,0.9665880216208672,0.9665880216208672,0.9665880216208672,0.3188049022865044,0.9777198357727994,0.9619477117632055,-0.417555501580545,-0.417555501580545,-0.380806760853466
0,sbm_3c_300_moderate_s2,0.0,0.0,0.26631956334878903,0.26631956334878903,0.26631956334878903,0.4066982167720482,0.9816666666666666,0.9958333333333332,0.33249999999999996,0.33249999999999996,0.4508333333333332
0,sbm_2c_200_mixed_s1,0.0,0.0,1.0,1.0,1.0,0.7212157363225473,0.9779960707269154,0.9732809430255402,-0.14420432220039292,-0.14420432220039292,-0.15756385068762277
0,sbm_imb_extreme_s1,0.0007688451143531561,0.26512948459231744,0.894279952414678,0.894279952414678,0.894279952414678,0.437544304589967,0.957347809228383,0.7735556417215974,-0.0445909267157813,-0.0445909267157813,-0.11438542070569986
0,sbm_imb_hard_s0,0.262405487415812,0.19862175734477683,0.3396511219467875,0.3396511219467875,0.3396511219467875,0.19183549898797497,0.6608187134502925,0.45185185185185184,-0.5134502923976608,-0.5134502923976608,-0.549317738791423
0,lfr_300_high_mix_s1,0.12751577613966564,0.12751577613966564,0.23834082548530605,0.23834082548530605,0.23834082548530605,0.08346637931101783,0.4760233918128655,0.4627680311890838,-0.8962962962962963,-0.8962962962962963,-0.887719298245614
0,sbm_imb_clear_s1,0.06264153150751306,0.0,0.23001114706370507,0.23001114706370507,0.16647775862750813,0.47776860798579057,0.8907662082514733,0.9030401372254051,0.656581532416503,0.656581532416503,0.6458835945486647
0,sbm_5c_80_moderate_s2,0.0,0.0,1.0,1.0,1.0,0.24778108348081396,0.9850687622789783,0.979044383048281,-0.40432220039292727,-0.40432220039292727,-0.3953004331715548
1,sbm_3c_30_clear_s2,0.0,0.0,0.26631956334878926,0.26631956334878926,0.26631956334878926,0.0,0.9986301369863014,0.9986301369863014,0.7109589041095891,0.7109589041095891,0.7109589041095891
1,sbm_8c_50_moderate_s1,0.0,0.011750114279564294,0.982307696202799,0.982307696202799,0.982307696202799,0.07316699011340344,0.96640625,0.9625898556020914,-0.5603240742479464,-0.5603240742479464,-0.5449932615103507
1,lfr_300_med_mix_s1,0.04905731002643887,0.0,0.8847644641396305,0.8847644641396305,0.8847644641396305,0.411237184616389,0.9031007751937985,0.9899224806201551,-0.38527131782945734,-0.38527131782945734,-0.33410852713178296
1,sbm_5c_80_clear_s1,0.0,0.0,0.5256490123859682,0.5256490123859682,0.2575165827074959,0.0,0.9643564356435643,0.9126826889569285,-0.40198019801980195,-0.40198019801980195,-0.400990099009901
1,sbm_3c_100_clear_s1,0.0,0.0,0.26631956334878815,0.26631956334878815,0.26631956334878815,0.0,0.9986301369863014,1.0,0.7123287671232876,0.7123287671232876,0.7123287671232876
1,sbm_10c_30_clear_s1,0.0,0.0,0.5746588781183669,0.5746588781183669,0.5746588781183669,0.0,0.9984251968503938,0.7572076539174981,-0.6692913385826772,-0.6692913385826772,-0.5306905821267769
1,sbm_5c_200_moderate_s2,0.006949786682517889,0.0,0.9804408662355455,0.9804408662355455,0.9804408662355455,0.47927445392838064,0.9865223295714458,0.9849873456855887,-0.36686909602676737,-0.36686909602676737,-0.35082932839908104
1,sbm_5c_200_moderate_s1,0.006952871470571109,0.006952871470571109,0.9677278663679464,0.9677278663679464,0.9677278663679464,0.48308031470581647,0.9798462747900859,0.9779268874920113,-0.3487986539504461,-0.3487986539504461,-0.3327482021553688
1,sbm_imb_extreme_s1,0.005722680143978032,0.26512948459231744,0.894279952414678,0.894279952414678,0.894279952414678,0.45852930769038686,0.9775106630476927,0.7735556417215974,-0.0445909267157813,-0.0445909267157813,-0.11438542070569986
1,sbm_10c_30_moderate_s1,0.006321850427780551,0.006321850427780551,0.9809343473489801,0.9809343473489801,0.9809343473489801,0.07207736439740842,0.9875195007800314,0.9898595943837755,-0.695804997258689,-0.695804997258689,-0.6333853354134166
1,sbm_3c_300_clear_s1,0.0,0.0,0.26631956334878903,0.26631956334878903,0.26631956334878903,0.0,0.9986301369863014,1.0,0.7123287671232876,0.7123287671232876,0.590442274035806
1,sbm_3c_300_moderate_s2,0.0,0.0,0.26631956334878903,0.26631956334878903,0.26631956334878903,0.37484852473073405,0.9816666666666666,0.9958333333333332,0.33249999999999996,0.33249999999999996,0.4508333333333332
1,sbm_10c_30_moderate_s2,0.0,0.0,0.9492732600544216,0.9492732600544216,0.9492732600544216,0.05161320449011342,0.9890410958904111,0.9929672154111124,-0.6461839530332681,-0.6461839530332681,-0.6000000000000001
1,sbm_3c_100_mixed_s0,0.0,0.012801817851820108,0.9829929733076641,0.9829929733076641,0.9829929733076641,0.6911963496395374,0.9875243664717349,0.9773879142300195,-0.18518518518518517,-0.18518518518518517,-0.13216374269005848
1,sbm_3c_100_moderate_s2,0.0,0.0,1.0,1.0,1.0,0.35794367632978474,0.999128160418483,0.974828177242014,-0.16913687881429812,-0.16913687881429812,-0.17175239755884913
1,sbm_5c_80_moderate_s2,0.0,0.0,1.0,1.0,1.0,0.3457690313918209,0.9858546168958741,0.979044383048281,-0.40432220039292727,-0.40432220039292727,-0.3953004331715548
2,sbm_3c_300_clear_s0,0.0,0.0,0.26631956334878903,0.26631956334878903,0.26631956334878903,0.0,1.0,1.0,0.7123287671232876,0.7123287671232876,0.7123287671232876
2,sbm_3c_100_moderate_s0,0.0,0.0,0.2861422321375633,0.2861422321375633,0.2861422321375633,0.0,0.9822033898305084,0.9796610169491525,0.35169491525423724,0.35169491525423724,0.8347457627118643
2,sbm_3c_300_moderate_s0,0.0,0.0,1.0,1.0,1.0,0.0,0.9973844812554489,0.9554800272923413,-0.17000871839581516,-0.17000871839581516,-0.16188919239713032
2,sbm_3c_300_hard_s2,0.001391671238648473,0.0,0.9689032965803263,0.9689032965803263,0.9689032965803263,0.001391671238648473,0.98303764785169,0.9773879142300195,-0.16533437631460393,-0.16533437631460393,-0.1267056530214425
2,sbm_10c_30_clear_s1,0.0,0.0,0.5746588781183669,0.5746588781183669,0.5746588781183669,0.0,0.9984251968503938,0.7572076539174981,-0.6692913385826772,-0.6692913385826772,-0.5306905821267769
2,sbm_5c_200_moderate_s2,0.006949786682517889,0.0,0.9804408662355455,0.9804408662355455,0.9804408662355455,0.0,0.9919921563492676,0.9849873456855887,-0.36686909602676737,-0.36686909602676737,-0.35082932839908104
2,sbm_3c_30_clear_s0,0.0,0.0,0.26631956334878926,0.26631956334878926,0.26631956334878926,0.0,0.9766295026219985,0.9964643377816329,0.10389675559808495,0.10389675559808495,0.8130041548559017
2,sbm_10c_30_clear_s0,0.0,0.0,0.6681253195249612,0.6681253195249612,0.4388770013720691,0.0,1.0,1.0,-0.8653465346534653,-0.8653465346534653,-0.8643564356435646
2,sbm_3c_100_hard_s1,0.0,0.1081993102958711,0.15238549382530586,0.15238549382530586,0.15238549382530586,0.13824747640953636,0.7115009746588694,0.3832358674463937,-0.9376218323586745,-0.9376218323586745,-0.9641325536062378
2,sbm_8c_50_hard_s1,0.0,0.20548056774069243,0.2923136735355284,0.2923136735355284,0.2923136735355284,0.270903647893859,0.9664717348927875,0.5415204678362573,-0.9173489278752436,-0.9173489278752436,-0.9766081871345029
2,sbm_2c_200_clear_s1,0.0,0.0,1.0,1.0,1.0,0.0,0.9974576271186439,0.9991525423728813,-0.061016949152542375,-0.061016949152542375,-0.07881355932203389
2,sbm_2c_200_mixed_s2,0.0,0.0,1.0,1.0,1.0,0.0,0.9882121807465618,0.9984282907662082,0.0035363457760314338,0.0035363457760314338,0.0027504911591355596
2,sbm_2c_200_mixed_s1,0.0,0.0,1.0,1.0,1.0,0.0,0.9724950884086444,0.9732809430255402,-0.14420432220039292,-0.14420432220039292,-0.15756385068762277
2,sbm_3c_100_mixed_s0,0.0,0.012801817851820108,0.9829929733076641,0.9829929733076641,0.9829929733076641,0.053638100501223196,0.982066276803119,0.9773879142300195,-0.18518518518518517,-0.18518518518518517,-0.13216374269005848
2,sbm_imb_moderate_s2,0.0,0.27859495363693065,0.9368313365824055,0.9368313365824055,0.9368313365824055,0.1033090952099136,0.9689922480620154,0.8906976744186047,-0.028682170542635655,-0.028682170542635655,-0.024806201550387597
2,sbm_10c_30_clear_s2,0.0,0.0,0.6629306311024705,0.6629306311024705,0.2095399453597916,0.0,0.9851485148514852,0.9740158182549362,-0.7920792079207921,-0.7920792079207921,-0.6828551724163029
3,sbm_8c_50_clear_s0,0.0,0.0,0.6932103525066453,0.6932103525066453,0.6932103525066453,0.0,0.9990099009900991,0.8909548357779994,-0.7475247524752476,-0.7475247524752476,-0.6801525793856315
3,sbm_5c_80_hard_s0,0.0,0.14437086621104997,0.20056990516972034,0.20056990516972034,0.20056990516972034,0.12280230919981913,0.9672514619883041,0.25692007797270955,-0.9506726638089728,-0.9506726638089728,-0.9625730994152047
3,sbm_3c_300_clear_s0,0.0,0.0,0.26631956334878903,0.26631956334878903,0.26631956334878903,0.0,0.9972602739726028,1.0,0.7123287671232876,0.7123287671232876,0.7123287671232876
3,sbm_8c_50_moderate_s1,0.011750114279564294,0.011750114279564294,0.982307696202799,0.982307696202799,0.982307696202799,0.011750114279564294,0.9805191493092913,0.9625898556020914,-0.5603240742479464,-0.5603240742479464,-0.5449932615103507
3,sbm_10c_30_clear_s1,0.0,0.0,0.5746588781183669,0.5746588781183669,0.5746588781183669,0.0,0.9952755905511812,0.7572076539174981,-0.6692913385826772,-0.6692913385826772,-0.5306905821267769
3,sbm_3c_100_clear_s1,0.0,0.0,0.26631956334878815,0.26631956334878815,0.26631956334878815,0.0,0.9986301369863014,1.0,0.7123287671232876,0.7123287671232876,0.7123287671232876
3,sbm_5c_200_clear_s2,0.006965398668803524,0.0,1.0,1.0,1.0,0.0,0.9133574007220217,0.9819650523397618,-0.453971119133574,-0.453971119133574,-0.296028880866426
3,sbm_3c_100_mixed_s2,0.042440134487092274,0.012754944614024155,0.9490092621965739,0.9490092621965739,0.9490092621965739,0.14438211018384328,0.9765716516985553,0.9836001561889888,-0.18391253416634132,-0.18391253416634132,-0.15657946114798907
3,sbm_3c_100_hard_s1,0.015115730734294536,0.1081993102958711,0.15238549382530586,0.15238549382530586,0.15238549382530586,0.08898000643488953,0.9259259259259259,0.3832358674463937,-0.9376218323586745,-0.9376218323586745,-0.9641325536062378
3,sbm_5c_80_moderate_s1,0.0,0.0,0.9916398563708724,0.9916398563708724,0.9916398563708724,0.004123097216680471,0.9890410958904111,0.9945205479452056,-0.28923679060665364,-0.28923679060665364,-0.2837573385518591
