regret,eps_success,ndcg_at_k,spearman,kendall,dataset_id,seed
0.012819124879056601,0.0,0.4544863542425119,0.3978250511812881,0.28738523297086466,openml_31,0
0.04126054745741359,0.0,0.9694261203544817,0.968693128719689,0.8669882839421089,synth_imb_extreme_d15,0
0.054636258164935225,0.0,0.8909055342077743,0.9160178433276818,0.7884144683165624,synth_subspace_5of50,0
0.0384706388498985,0.0,0.36611912402383784,-0.5215230545170638,-0.3922168780061216,openml_1485,0
0.011196141984548769,0.0,0.966267403979574,0.9467299523056832,0.8321914398823198,synth_varying_density_15d,0
0.01824839971865659,0.0,0.858485098240536,0.7473053454638457,0.5511945392491467,openml_1475,0
0.0,1.0,0.9603582252182145,0.9740604600272919,0.8824728260869564,img_mnist_digits_5k,0
0.0999909595689866,0.0,0.43724254880775326,-0.4661654135338345,-0.3473684210526316,openml_1486,0
0.08907079105069493,0.0,0.97438266274205,0.9644434547006644,0.8560553633217993,img_mnist_digits_2k,0
0.0849280299727643,0.0,0.528525513982268,0.5404863778634673,0.3816976173099559,synth_spirals_2arms_n0.10,0
0.011492924360840803,0.0,0.6644522451708272,0.017031123453011558,0.013706453703527709,openml_1053,0
0.0032871745302452,1.0,-2.118012858700043,-0.4356223469373378,-0.30377956888464897,openml_23381,0
0.5645091159942806,0.0,0.4676712669763618,0.08461948704688332,0.05158418434145065,synth_moons_noise0.05,0
0.1940788991632354,0.0,0.37360413084807165,0.5932582506624645,0.3892083975431409,openml_54,0
0.06313991992263479,0.0,0.9777953610952685,0.9862173063123252,0.9127423822714681,openml_16,0
0.07494994129338839,0.0,0.9563378530971429,0.9492486453270768,0.8231499051233395,openml_12,0
0.14313680247172061,0.0,0.507048785461533,0.5665630686484485,0.38308852719333064,openml_188,0
0.10902980619768449,0.0,0.7863497562443157,0.7062346154427637,0.5374290986823752,synth_moons_noise0.30,0
0.08468689541793739,0.0,0.9367400673101018,0.907640569249067,0.7444717444717444,openml_40984,0
0.0058318009830755635,1.0,0.9757845188106459,0.9091632562528844,0.7773899694397631,synth_ellipsoidal_d3_k8,0
0.36682973447651,0.0,0.28042027763023525,0.5956880316903695,0.4505005561735262,openml_1040,0
8.953338370630001e-05,1.0,0.7324014366576408,0.5266643429766469,0.36842105263157887,openml_23517,0
0.09954784094264701,0.0,0.9662373338313465,0.97844914910859,0.9224748415952292,synth_grid_d30_k3_lowoverlap,0
0.0514962927088911,0.0,0.7638885053932295,0.6702205022783552,0.5157714749362101,openml_37,0
0.0429100213001201,0.0,0.6037071206216366,0.3181818181818181,0.2380952380952381,openml_151,0
0.24321325544414307,0.0,0.8694329016134754,0.9524161862857404,0.8391080796126903,openml_61,0
0.009335607475619567,1.0,0.9963859677339513,0.8848894551363243,0.7680724182732314,synth_grid_d2_k10_lowoverlap,0
0.009197199862662798,1.0,0.5965003065826765,0.42234205755195015,0.3046538912788424,openml_469,0
