dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec,ch_adjusted,ari,nmi,v_measure
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 2, ""n_init"": 10}",76c89cda5ca5,0.7323841712091005,0.4969443380832672,421.30013362153613,0.8107593725844686,2,0.0,0.2972128391265869,0.9245686974916868,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 3, ""n_init"": 10}",23861655ac34,0.7356555096694878,0.5519677996635437,739.181612289129,0.6075115762728202,3,0.0,0.256702184677124,0.9662379576306016,0.7441213776601742,0.7366245761025162,0.7366245761025163
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 5, ""n_init"": 10}",a042255d7a7d,0.6590182812560925,0.470499575138092,827.7140122433319,0.707362328723425,5,0.0,0.2877199649810791,0.9671331492535644,0.5205488667358498,0.6610598693806825,0.6610598693806824
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 7, ""n_init"": 10}",47980bf71ea8,0.5875984398056623,0.4414575695991516,886.4191507059551,0.7027337386911148,7,0.0,0.2593228816986084,0.9755625450247852,0.40055345065065034,0.5909523742007887,0.5909523742007887
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 10, ""n_init"": 10}",79d9b0fb5f02,0.596145158663326,0.4271309971809387,907.391886032198,0.7540288962948034,10,0.0,0.0722420215606689,0.9750426534131422,0.36367296573182173,0.6005838900031165,0.6005838900031165
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 15, ""n_init"": 10}",e511e76239fe,0.5354785797556946,0.4004451334476471,936.6081972154748,0.788311782635976,15,0.0,0.0975151062011718,0.9783102941511552,0.254619993976364,0.5426395524740469,0.5426395524740469
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 20, ""n_init"": 10}",7741c3e44852,0.5034602077071963,0.3780429065227508,912.1030835587968,0.797926379665949,20,0.0,0.0497200489044189,0.9683289345549988,0.21308428066156268,0.5135972170837128,0.5135972170837128
synth_blobs_easy_2d,KMeans,"{""n_clusters"": 30, ""n_init"": 10}",b2d6bf5f391d,0.4657407495852519,0.3538937866687774,920.098887463046,0.8041312612935536,30,0.0,0.1304020881652832,,0.14686995130595826,0.4809878822264316,0.4809878822264317
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 2}",3964e1ccb548,0.7323841712091005,0.4969443380832672,421.30013362153613,0.8107593725844686,2,0.0,0.0071780681610107,0.9269519408231002,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 3}",4c077151b389,0.9390940380662604,0.4774365723133087,561.6473401634562,0.7243174339445982,3,0.0,0.0124096870422363,0.9517086050234352,0.9586346253016294,0.9393170010394208,0.9393170010394208
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 5}",f292f2a1db5b,0.737136997279061,0.4142059981822967,514.0376843887268,0.7968892517269256,5,0.0,0.0151839256286621,0.9402664641965116,0.7049653919102821,0.7387604715015113,0.738760471501511
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 7}",a4dbad06fd4e,0.6570349292756117,0.3572618067264557,596.7239290774481,0.8170767037288131,7,0.0,0.0132269859313964,0.9581088852651208,0.5179265927581236,0.6598359535984434,0.6598359535984434
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 10}",8eecd2798818,0.6205043225163623,0.3177307248115539,669.8078871487645,0.9037882282105046,10,0.0,0.014714241027832,0.961523145325595,0.38340512519090086,0.6246918102608762,0.6246918102608762
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 15}",4d9c9acccd21,0.536593953333604,0.3671325445175171,812.3690938558173,0.8512723039769778,15,0.0,0.0145118236541748,0.9723401423193389,0.254619430253929,0.5437482500090092,0.5437482500090092
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""full"", ""n_components"": 20}",9381fbddb6c5,0.5071428868168965,0.3273590505123138,678.2756156573456,0.9051735735048014,20,0.0,0.0230488777160644,0.9570345874975746,0.2231679036891496,0.5173193486395133,0.5173193486395133
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 2}",8ec393598948,0.7323841712091005,0.4969443380832672,421.30013362153613,0.8107593725844686,2,0.0,0.0061028003692626,0.9259631099586592,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 3}",77e145ffcc55,0.93552719586871,0.4776105880737304,563.6814360736181,0.7200489780070702,3,0.0,0.0061571598052978,0.9513229699094564,0.9528775824638693,0.9357632519389032,0.9357632519389031
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 5}",632568e85407,0.7482186395119415,0.4149233996868133,511.586876797559,0.7895204272605431,5,0.0,0.0118908882141113,0.939562189479586,0.723125420122432,0.7497800065532173,0.7497800065532173
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 7}",fa9612cfa871,0.6658453184526352,0.3726764023303985,618.5795737444715,0.7830739114376682,7,0.0,0.0090029239654541,0.9596943991153172,0.5374606967293447,0.6685931215625973,0.6685931215625973
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 10}",3d72e70b09e3,0.5937294053424654,0.3797088265419006,799.2351604444782,0.8681775354312415,10,0.0,0.0396420955657959,0.9676963867899668,0.3643685453852408,0.5982332165745753,0.5982332165745753
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 15}",45c510f16843,0.5378041131532215,0.3818650245666504,844.3379431834238,0.8448561600344947,15,0.0,0.0131521224975585,0.971231709089292,0.26322707170359694,0.5449856517751527,0.5449856517751528
synth_blobs_easy_2d,GaussianMixture,"{""covariance_type"": ""diag"", ""n_components"": 20}",27a2752a569f,0.5081178365236693,0.347434252500534,803.5318060574039,0.8231173162927025,20,0.0,0.0648860931396484,0.965481705809994,0.22055597691074486,0.5180987641855459,0.5180987641855459
synth_blobs_easy_2d,SpectralClustering,"{""affinity"": ""rbf"", ""n_clusters"": 2}",3a9260f9550f,0.7323841712091005,0.4969443380832672,421.30013362153613,0.8107593725844686,2,0.0,0.1509237289428711,0.925050299359549,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,SpectralClustering,"{""affinity"": ""rbf"", ""n_clusters"": 3}",0dfb18d06f3a,0.7742759399925421,0.5489165186882019,727.4653205340578,0.6116401583577237,3,0.0,0.157768964767456,0.9661813830621534,0.7661631013177433,0.775106154104271,0.7751061541042709
synth_blobs_easy_2d,SpectralClustering,"{""affinity"": ""rbf"", ""n_clusters"": 5}",c104b3d67121,0.6377344399652872,0.4324246644973755,715.1657429756501,0.6744586864432766,5,0.0,0.0591800212860107,0.966863497452962,0.4476115064589301,0.6399645081988126,0.6399645081988126
synth_blobs_easy_2d,SpectralClustering,"{""affinity"": ""rbf"", ""n_clusters"": 7}",7f10ff06a55f,0.6254341437819734,0.4049044847488403,672.3036414254775,0.6098861755106922,7,0.0,0.2927460670471191,0.9617655728817878,0.5255981767257567,0.6287556345227623,0.6287556345227623
