dataset_id,run_id,algo,ami,n_clusters,noise_fraction,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_std,cluster_size_median,size_ratio,entropy,gini,imbalance,singleton_fraction,ds_n_samples,ds_n_features,ds_log_n,ds_log_d,ds_d_over_n,ds_mean_of_means,ds_mean_of_stds,ds_mean_of_skewness,ds_mean_of_kurtosis,ds_sparsity,ds_intrinsic_dim_pca95,ds_pairwise_dist_mean,ds_pairwise_dist_std,ds_pairwise_dist_median,within_cluster_var_mean,within_cluster_var_std,between_cluster_var,dispersion_ratio,cluster_density_mean,cluster_density_std,cluster_density_max,centroid_sep_min,centroid_sep_mean,centroid_sep_std,graph_cut_fraction,graph_normalized_cut_proxy,graph_within_cluster_edge_density,graph_within_edge_density_std,graph_conductance_min,graph_conductance_mean,ivm_silhouette,ivm_calinski_harabasz,ivm_davies_bouldin_neg,algo_KMeans,algo_GaussianMixture,algo_SpectralClustering,algo_DBSCAN,algo_HDBSCAN,algo_AgglomerativeClustering,hp_n_clusters,hp_n_components,hp_eps,hp_min_samples,hp_min_cluster_size,ari,nmi,v_measure
synth_blobs_easy_2d,76c89cda5ca5,KMeans,0.7323841712091005,2,0.0,166,334,250.0,84.0,250.0,2.0120481927710845,0.6355859693773835,0.1679999999999998,0.5029940119760494,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.4858658909797668,0.1662219613790512,0.5166062712669373,1.063269270094507,1.1447009940901336,0.2131520114192612,1.357853005509395,2.032941359511939,2.032941359511939,0.0,0.0,0.0,0.0547895239980948,0.0183758648299446,0.0,0.0,0.4969443380832672,421.30013362153613,-0.8107593725844686,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,23861655ac34,KMeans,0.7356555096694878,3,0.0,152,184,166.66666666666666,13.199326582148888,164.0,1.2105263157894737,1.09549587295548,0.0426666666666666,0.1739130434782653,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.2511039078235626,0.0333138480782508,0.7592037916183472,3.023464661285861,0.8439373340660978,0.0446368051547294,0.902706661747474,1.8855924656338343,2.1235754682025223,0.2136581868807756,0.0219661505221461,0.0598217589817916,0.0721263407461884,0.0060191488547193,0.0085728693898134,0.0199405863272638,0.5519677996635437,739.181612289129,-0.6075115762728202,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.7441213776601742,0.7366245761025162,0.7366245761025163
synth_blobs_easy_2d,a042255d7a7d,KMeans,0.6590182812560925,5,0.0,73,117,100.0,15.949921629901509,103.0,1.6027397260273972,1.5961813957310962,0.0871999999999999,0.3760683760683814,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.1298824995756149,0.0157436169683933,0.8898460865020752,6.851162315190692,0.6110977901094626,0.0312142983780909,0.6661013678274728,1.176001137789943,2.029571481591352,0.5745175445462253,0.0370903853078862,0.1736274046666967,0.1217131177737194,0.0226430645393831,0.0219081272084805,0.0347254809333393,0.470499575138092,827.7140122433319,-0.707362328723425,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5205488667358498,0.6610598693806825,0.6610598693806824
synth_blobs_easy_2d,47980bf71ea8,KMeans,0.5875984398056623,7,0.0,38,109,71.42857142857143,23.8917627338506,66.0,2.8684210526315788,1.8894634901589904,0.1897142857142856,0.651376146788994,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.0873477831482887,0.0160856992006301,1.0436484813690186,11.948196551082326,0.5024312876808293,0.0398717186557394,0.5288607913596374,0.956176899868762,2.088212717174856,0.7139521319567702,0.0676989557075981,0.4257928346657951,0.1849347318452574,0.0699442464913386,0.0402144772117961,0.0608275478093993,0.4414575695991516,886.4191507059551,-0.7027337386911148,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.4005534506506503,0.5909523742007887,0.5909523742007887
synth_blobs_easy_2d,79d9b0fb5f02,KMeans,0.596145158663326,10,0.0,15,77,50.0,16.64331697709324,45.5,5.133333333333334,2.2410039840929348,0.1783999999999999,0.8051948051948077,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.061940599232912,0.0231960751116275,1.0519442558288574,16.98311396465995,0.4213456329766377,0.0585809158671949,0.4977153128605928,0.6108621937137683,2.0129766043170867,0.7894510740530032,0.0846236946344976,0.8305531074439779,0.2751746821694283,0.1651960723620421,0.0590339892665473,0.0830553107443977,0.4271309971809387,907.391886032198,-0.7540288962948034,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.3636729657318217,0.6005838900031165,0.6005838900031165
synth_blobs_easy_2d,e511e76239fe,KMeans,0.5354785797556946,15,0.0,11,60,33.333333333333336,11.925695879998877,32.0,5.454545454545454,2.6410609900573663,0.1941333333333333,0.8166666666666698,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.0419469401240348,0.026551067829132,1.0631688833236694,25.34556466227548,0.3449455176099306,0.0862079580028291,0.5687138579920616,0.4070339384410355,1.9504625658075443,0.8672566177434317,0.1112711559236585,1.7108681096604954,0.3913761469355815,0.1802445403133848,0.0277078085642316,0.1140578739773663,0.4004451334476471,936.6081972154748,-0.788311782635976,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.254619993976364,0.5426395524740469,0.5426395524740469
synth_blobs_easy_2d,7741c3e44852,KMeans,0.5034602077071963,20,0.0,1,56,25.0,13.145341380123988,28.5,56.0,2.8327647463765775,0.2889999999999999,0.9821428571428574,0.05,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.0279481003060936,0.0197232583378689,1.4706828594207764,52.62192575741875,0.287457123882551,0.0967477981795154,0.5687138579920616,0.3446938714142126,2.2479800875091316,1.0672090082159211,0.1483615412315448,3.485357830735568,0.4981289394902188,0.3240047794539933,0.068181818181818,0.2242678915367784,0.3780429065227508,912.1030835587968,-0.797926379665949,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.2130842806615626,0.5135972170837128,0.5135972170837128
synth_blobs_easy_2d,b2d6bf5f391d,KMeans,0.4657407495852519,30,0.0,1,33,16.666666666666668,8.243515970479802,18.0,33.0,3.2562683029252746,0.2797333333333333,0.9696969696969706,0.0666666666666666,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.0175018619125088,0.0097989036346355,1.348494052886963,77.04860543129577,0.2308153741950191,0.0799756838121276,0.3853845201523263,0.2541202558271341,2.120384712951175,1.0411265016470428,0.2337054375225062,7.281121296593348,0.5895636789018914,0.2897614754591172,0.0904645476772613,0.3093707098864449,0.3538937866687774,920.098887463046,-0.8041312612935536,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.1468699513059582,0.4809878822264316,0.4809878822264317
synth_blobs_easy_2d,3964e1ccb548,GaussianMixture,0.7323841712091005,2,0.0,166,334,250.0,84.0,250.0,2.0120481927710845,0.6355859693773835,0.1679999999999998,0.5029940119760494,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.4858658909797668,0.1662219613790512,0.5166062712669373,1.063269270094507,1.1447009940901336,0.2131520114192612,1.357853005509395,2.032941359511939,2.032941359511939,0.0,0.0,0.0,0.0547895239980948,0.0183758648299446,0.0,0.0,0.4969443380832672,421.30013362153613,-0.8107593725844686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5689744172121162,0.7330043533591887,0.7330043533591888
synth_blobs_easy_2d,4c077151b389,GaussianMixture,0.9390940380662604,3,0.0,164,170,166.66666666666666,2.494438257849294,166.0,1.0365853658536586,1.0985004957613933,0.0079999999999999,0.0352941176470644,0.0,500,2,6.2166061010848646,1.0986122886681098,0.004,0.0,1.0,0.2848227322101593,-0.8330073356628418,0.0,2,1.7771591428892186,0.921803339256256,1.8795690326812848,0.3063797652721405,0.0275715850293636,0.6918465495109558,2.258133949851969,0.9179958174999155,0.0446125643955045,0.96458266001348,1.677815933927035,2.01536524070783,0.2989691780091417,0.0295282679150161,0.0810612110998939,0.071106924743985,0.0014795189671946,0.0,0.0270204036999646,0.4774365723133087,561.6473401634562,-0.7243174339445982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9586346253016294,0.9393170010394208,0.9393170010394208
