dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec
synth_blobs_overlap_10d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.7121842697892679,0.2275140455384268,226.45546693883972,1.8815979272396877,3,0.0,0
synth_blobs_overlap_10d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.8857771281585495,0.3170802292473413,271.46566463495344,1.515325345823403,5,0.0,0
synth_blobs_overlap_10d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.8656262594269565,0.27185114564065693,302.5423572808156,1.2277574344770934,7,0.0,0
synth_blobs_overlap_10d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.9304950657612531,0.35376546424207467,783.092762378479,2.016107173537754,10,0.0,0
synth_blobs_overlap_10d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.8452501579267824,0.14007485117574026,536.5417569345615,2.7617222901817104,15,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.5890049560182014,0.2867686832250506,249.76377655028492,1.921077552194611,2,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.741671671616667,0.45255493488279375,422.6887181104019,0.9485998076454806,3,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,1.0,0.7781999242403126,4406.025405198777,0.3198364163642812,5,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.8159560659002935,0.2365128995549681,483.38866064438093,2.183403186508023,7,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.8264219204802544,0.06788782833635998,2118.4788329577705,3.3785595517433626,10,0.0,0
synth_blobs_highd_50,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.7460385888903089,0.05288560163832757,1424.4371723227337,3.2555613168715003,15,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.3560103947102382,0.14243655836263042,227.0551926143931,2.187236694292759,2,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.5598771388903785,0.20489901991994106,254.20458833614805,2.1703636134516913,3,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.7612420469166182,0.32830447182938094,341.21215103610064,1.5708512554522918,5,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.8860715147530089,0.4870494492377163,552.3015378744683,1.265118618318514,7,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,1.0,0.7125031204863838,2619.528700731959,0.421478341731573,10,0.0,0
synth_blobs_highd_100,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.9309845906603761,0.36305255497251687,1695.085086481858,5.147925336016638,15,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.3113249674049142,0.3779215035249538,2259.586314169715,0.7925477840519426,2,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.542489588739876,0.516267444257178,4971.238513901874,0.6530434402377968,3,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.7039296884752058,0.41605132991149596,3862.277536108606,0.8517376270660056,5,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.7642368322970169,0.38540185900768964,4934.452225880756,0.7873271989783129,7,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.8757840123649309,0.5060120252451932,11256.808567626955,0.6083699402637108,10,0.0,0
synth_blobs_large_2d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.9512526268044436,0.568251359329483,24582.221465720097,0.6076898773575892,15,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.3729472873237997,0.07727219540114824,237.7874678689914,4.551580208235637,2,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.4389463443206476,0.029492854632760076,199.44270600654477,3.9524706760197232,3,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.5831802596400651,0.12390121336101824,342.0925850579175,2.167889679442577,5,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.697071001245905,0.13106698296848954,334.742973626106,2.0940962274094868,7,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.7968001334620408,0.19661875889968825,329.1824010652596,2.5535227010376853,10,0.0,0
synth_blobs_large_20d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.8573493243566082,0.29674005343754634,475.6734503158549,2.100805358380046,15,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.6749820213655938,0.46091379830261664,228.70867645352126,0.9409684136172274,2,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.5368473607646668,0.4070781575954525,245.7294805568884,0.7951851009911385,3,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.4385987201801705,0.3890602256039345,300.1555533416415,0.8066919678937385,5,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.39122667435327424,0.3658933533668765,265.56690885451576,0.813439206299952,7,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.34800648266300777,0.34050882381420794,283.29947953883845,0.8564017291017244,10,0.0,0
synth_blobs_high_overlap,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.308603077211286,0.3547747558201947,278.9312952668741,0.8298694781789074,15,0.0,0
synth_blobs_well_separated,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.5758440058424192,0.24290023930759944,79.29570879436372,1.3361465287500975,2,0.0,0
