dataset_id,rho_predicted,rho_Silhouette,rho_Calinski-Harabasz,rho_Davies-Bouldin (neg),rho_CH Adjusted (Jeon)
openml_31,0.5368776144778619,-0.1786344167296548,0.07666231475755285,-0.004420623468242515,0.30759502144338324
synth_imb_extreme_d15,0.9376787596134056,0.6627459134753372,0.7464422259983007,0.7543011894647408,0.93424174207687
synth_subspace_5of50,0.9140380983028221,-0.03066031794019096,0.7581437533066282,-0.49089260071045254,0.23603077828094365
openml_1485,0.7478792246595499,0.015317286652078778,0.6960855823000245,-0.021800794229678264,0.21363367073663603
synth_varying_density_15d,0.9474306401845798,0.676641119626791,0.7770759856069274,0.5412195934688436,0.6947807503884406
openml_1475,0.6048448975117833,0.08129635719244399,0.4862070225437538,-0.024261025247542835,0.5375189418081564
img_mnist_digits_5k,0.9195505452220843,-0.5593749173695761,0.4710066368756445,-0.2702080964594516,0.2203205702814906
openml_1486,0.4827067669172932,-0.8421052631578947,-0.3233082706766917,-0.6541353383458646,
img_mnist_digits_2k,0.9438815276695246,-0.5004921865386983,0.4789590254706535,-0.262150855174111,0.03221319572489132
synth_spirals_2arms_n0.10,0.4055522772503886,0.02960949385872266,-0.2029404894976421,0.5578159731489272,0.10964973159886791
openml_1053,0.2949307333929838,-0.6606936185497065,0.013569062537414692,-0.5834297801013687,-0.5818181818181819
openml_23381,-0.5393830751504473,0.367599605670335,-0.03748847536154354,0.2442322472643107,-0.09969368407992175
synth_moons_noise0.05,0.832765001535304,-0.6229967749937981,-0.6830811213098487,-0.6474075911684445,-0.7172209413996388
openml_54,0.6152088858155605,-0.8173303915431869,-0.03153785623186352,-0.7661045193857571,-0.020245678040868506
openml_16,0.9400687897458738,0.16997277323998444,0.23635420718267858,-0.1152599507325295,0.10365437196252865
openml_12,0.9271828389475447,0.28407487895077965,0.17846658279004154,-0.08193221243661596,0.605092623306914
openml_188,0.6846648094172211,-0.07475542976681226,0.19700978280932746,-0.17873623331077337,-0.00540610121610603
synth_moons_noise0.30,0.7128725830202349,0.1726213388389264,0.35469083528711903,-0.24183784162088395,-0.19508145095222543
openml_40984,0.6731375216327101,-0.16539304543569694,0.481813873585688,-0.3667436763224927,0.1899612771346257
synth_ellipsoidal_d3_k8,0.8788873937958485,0.04503488323515896,0.6492605904236485,-0.003216777373939925,0.21539202670526972
openml_1040,0.7025780894863303,-0.5238095238095238,0.5686918445539135,-0.6776135741652982,
openml_23517,0.6667828511676542,-0.029927760577915376,0.25696594427244585,-0.6883384932920537,
synth_grid_d30_k3_lowoverlap,0.9452745137763373,0.9088903970139124,0.84577536477774,0.8864947404139802,0.8264323768576501
openml_37,0.7585284758920569,-0.5144561725562184,0.51616075526126,-0.5339933127909263,0.30683949488227746
openml_151,-0.04935064935064935,-0.014285714285714285,0.40649350649350646,-0.34935064935064936,
openml_61,0.8524955295547333,0.5301985659128517,0.580851259422688,0.3488233131090275,0.3400782421666287
synth_grid_d2_k10_lowoverlap,0.6994138134013539,0.39106571353042036,0.9208795433937434,0.39820367767876974,0.5062897019105984
openml_469,0.24392171447166566,0.5452021587375171,0.3910260299447373,0.47645114372603453,0.6821459588808471
openml_4538,0.4958989182199376,-0.6009432666330875,0.025275882595356926,-0.4408168872201108,0.021114337674342922
synth_blobs_large_2d,0.8614793909034827,0.16565360497801696,0.9611385051545712,0.2714302982920212,0.7646398563627642
openml_1558,0.566481738123814,-0.4802179202369618,0.07198772876335556,-0.23341796255157093,-0.20877807494279207
openml_1590,0.21804511278195485,-0.39097744360902253,0.4330827067669173,-0.7037593984962407,
openml_40975,0.1115245696583591,0.25371787532464496,-0.5078771246055132,0.17434633871266375,0.2870166899742693
synth_grid_d2_k3_medoverlap,0.8611547933208066,0.3797229443395891,0.6436736583455006,0.2849257505074606,0.4424678612096042
synth_subspace_5of200,0.9326574450327684,0.11730591801766178,0.8844075392118095,-0.2738895479109002,0.08970629988544375
synth_grid_d5_k3_lowoverlap,0.9708407459215783,0.854868980420098,0.8033830811584998,0.8468845361495828,0.7164874111999874
openml_6332,0.7202765174827177,-0.711969547441139,0.04229522064006767,-0.20372197941632592,-0.050010124531844176
synth_grid_d2_k3_lowoverlap,0.9264804498861794,0.8355259576475711,0.7621184155168618,0.7956776570070224,0.7067949166687478
openml_22,0.9124260731558718,-0.49354022831362365,0.30254972998837926,-0.44336591701414996,0.7153041628716315
synth_grid_d30_k10_medoverlap,0.9715073878788149,0.8273674144984708,0.96613515009844,0.7063655121040042,0.6969038939113797
openml_15,0.691941970272916,-0.054176540432904624,0.5231635085434453,-0.20544983339503883,0.03496503496503497
synth_grid_d2_k10_highoverlap,0.8220983502708784,0.006112809113642679,0.7698249513753822,-0.37227007502083914,0.7203137153227898
synth_grid_d15_k10_highoverlap,0.9675484192448952,0.704534486597113,0.7479406051955233,0.6019255595277507,0.6298190750148598
openml_181,0.7328410894452655,-0.6692235794630482,0.33215489372315105,-0.6693847294292068,-0.2160058123502312
openml_1471,0.38710790073689016,-0.7634638196915776,-0.04580498866213152,-0.7482993197278912,
synth_nested_rings_5,0.8276409946915299,-0.2238399555432065,-0.23695470964156712,-0.02961933870519589,0.5661654135338346
